state,idProduct,combinacion_id,referencia,referencia_combinacion,cantidad,cantidad_referencia,ean13_producto,ean13_combinacion,precio_producto,precio_combinacion,precio_mayor,precio_m_combinacion
1.0,315.0,,,,32.0,,8400000003155,,4.31405,,1.57,
1.0,316.0,,,,60.0,,,,3.93,,1.29,
1.0,319.0,319.0,TIRAIPRO220V-V,373,1299.0,0.0,201119855339,8400000002943,6.78474,0.0,0.0,0.0
1.0,320.0,,TIRAIPRO220V-V,,1299.0,,1129855344,,6.78474,,0.0,
1.0,322.0,322.0,,DW9WC4K,60.0,466.0,8400000003223,8400000002967,0.846489,0.0,0.5,0.0
1.0,337.0,,D5WSMD,,271.0,,9990986789024,,5.054139,,3.14,
1.0,339.0,,D15WSMD,,0.0,,9990973787024,,10.184583,,6.56,
1.0,340.0,,D25WSMD,,300.0,,8400000343434,,18.633452,,11.7,
1.0,341.0,,,,0.0,,8400000045431,,11.106965,,5.43,
1.0,342.0,342.0,264,PLAF25WEM3K,58.0,98.0,8400000003421,8400000003100,9140496.0,0.0,366.0,0.0
1.0,343.0,343.0,272,PLAF25WEM45K,96.0,99.0,8400000004015,8400000003117,1314.0,0.0,526.0,0.0
1.0,345.0,,288,,64.0,,8400000004039,,1714876.0,,686.0,
1.0,346.0,,FUENTE12V250W,,5.0,,8400000004046,,23.599096,,10.5,
1.0,347.0,,FUENTE12V400W,,500.0,,8400000004053,,29.126003,,17.48,
1.0,348.0,,TI524V200,,293.0,,9909098889003,,23.599096,,11.42,
1.0,349.0,,AMPLIRGB144W,,300.0,,8400000004091,,15.683564,,5.42,
1.0,350.0,,5020,,20.0,,8400000004107,,10.661157,,6.28,
1.0,353.0,,1122FL,,0.0,,8400000004145,,7.892562,,7.75,
1.0,354.0,,7174,,3.0,,8400000004152,,9.049587,,6.17,
1.0,355.0,,NEON3FLEXIBLE,,0.0,,8400000032323,,103.459799,,75.0,
1.0,357.0,357.0,,4010,40.0,0.0,8400000003575,8400000003575,32.975206,0.0,30.92,0.0
1.0,363.0,363.0,LM21584,DW9WC6KR,500.0,0.0,8400000004251,8400000003230,3.103794,0.0,1.5,0.0
1.0,364.0,364.0,LM21614,113,80.0,96.0,8400000004268,8400000003643,14.484372,0.0,6.95,0.0
1.0,365.0,365.0,COB15WBL,90,1500.0,10.0,66909876652,8400000003650,11.302983,0.0,7.5,0.0
1.0,367.0,367.0,,6114,34.0,0.0,8400000003674,8400000003278,1.066116,0.0,0.53,0.0
1.0,379.0,379.0,CON220L,DW15W4K,0.0,0.0,8400000004336,8400000003346,2.522367,0.0,0.0,0.0
1.0,380.0,380.0,CON220T,DW15W6K,0.0,0.0,8400000004343,8400000003353,2.522367,0.0,0.0,0.0
1.0,381.0,381.0,GRA220,DW15W3KP,63.0,0.0,8400000004350,8400000003360,0.085505,0.0,0.0,0.0
1.0,385.0,,GU10OFERTA,,0.0,,8400000004367,,0.684032,,0.63,
1.0,393.0,,T8-120-SAGITARY,,2831.0,,8400000003933,,2.969554,,1.09,
1.0,397.0,,,,40.0,,11080082931,,0.846489,,0.3,
1.0,409.0,,D3W3K-C,,100.0,,11369082199,,3.045856,,1.0,
1.0,411.0,,D3W3K-NI,,7.0,,8400000007312,,3.441535,,1.0,
1.0,412.0,,,,40.0,,8400000082929,,3.297521,,2.34,
1.0,413.0,,8022T,,195.0,,9909990156725,,1.28,,0.5,
1.0,414.0,,FOCO10WREC,,0.0,,8400000004145,,14008264.0,,935.0,
1.0,417.0,,,,2.0,,8400000004176,,9.049587,,4.0,
1.0,418.0,,TIRAIPRO220V-AZ,,1297.0,,233119855339,,6.78474,,0.0,
1.0,419.0,,TIRAIPRO220V-B-12MM,,1295.0,,8400000098789,,7.019747,,1.2,
1.0,420.0,,TIRAIPRO220V-CA-12MM,,1287.0,,982309855339,,7.019747,,1.2,
1.0,421.0,,TIRAIPRO220V-AZ-12MM,,1293.0,,982354855339,,7.019747,,1.2,
1.0,422.0,,3011,,20.0,,8400000005197,,2.645065,,0.7,
1.0,423.0,,ADAPRGB60W,,997.0,,8400000005203,,12.754525,,5.72,
1.0,424.0,424.0,CONT-RGB-220V,BOBI506K8M,100.0,0.0,8400000005210,8400000004244,26.499816,0.0,0.0,0.0
1.0,425.0,425.0,15W6000K,5118,0.0,183.0,8400000005227,8400000004251,7.396694,0.0,15.0,0.0
1.0,427.0,427.0,TRIAC-300W,BOBI50VE8M,15.0,0.0,8400000005265,8400000004275,15.683564,0.0,0.0,0.0
1.0,428.0,428.0,FOCO10W45K,BOBI50AZ8M,20.0,0.0,8400000005272,8400000004282,4.81864,0.0,5.5,0.0
